Id;PageItemID;XCoordinate;YCoordinate
177;225;405,3110961914;267,1014709473
178;610;233,7630615234;279,4494323730
179;620;249,0112762451;286,2998962402
180;229;343,7593383789;286,1508178711
181;618;261,4110107422;289,3018798828
182;811;342,8646240234;301,6496276855
183;760;513,5106201172;302,7485961914
184;608;171,7882690430;311,3491516113
185;487;91,8883209229;317,7504577637
186;806;129,4864654541;333,7998352051
187;749;228,7883300781;332,6004638672
188;184;280,9883117676;337,6504516602
189;237;378,0130615234;345,0994262695
190;795;512,2810668945;353,1501464844
191;48;225,3110961914;365,9515075684
192;541;282,9133300781;365,7488098145
193;233;141,4860382080;370,0507202148
194;817;417,2601623535;376,6506347656
195;777;140,0406646729;381,5484924316
196;866;225,2406616211;400,0484924316
197;231;139,8130493164;404,3494262695
198;689;513,1882934570;407,9491577148
199;665;512,2810668945;416,8501586914
200;766;512,5823364258;426,5495910645
201;769;195,9148254395;439,5490112305
202;841;430,9369506836;462,4496154785
203;828;190,8130493164;465,1994323730
204;615;182,0369720459;476,9496154785
205;695;169,5110931396;491,1514892578
206;788;419,1081237793;491,3508911133
207;655;150,3102264404;516,1017456055
208;661;453,5099182129;517,0520019531
209;744;242,8382720947;526,7491455078
210;790;138,0099029541;531,5520019531
211;823;393,6602172852;537,9517211914
212;632;207,4869842529;572,7495727539
213;839;417,7297668457;593,5009765625
214;170;181,3297576904;643,0509643555
215;217;427,4049377441;657,3519897461
216;639;426,8049316406;670,7520141602
217;677;410,5285034180;700,7512207031
218;126;96,2406616211;131,7485046387
219;503;113,5406646729;137,8484802246
220;819;123,7360229492;141,5507202148
221;821;137,4883270264;144,5504455566
222;134;71,8864669800;156,4498596191
223;747;284,5883178711;174,7004699707
224;635;285,6883239746;196,3004455566
225;740;271,9894409180;218,6493377686
226;106;414,9148254395;217,8990478516
227;440;414,7406616211;228,7984924316
228;116;168,9640045166;239,1500396729
229;257;415,0383300781;239,5004577637
230;638;168,9093475342;247,0507812500
231;58;168,1139984131;254,5000152588
232;798;524,0556640625;254,9499206543
233;619;156,4860382080;259,7507324219
234;601;251,2831420898;260,6013793945
235;605;167,2860260010;264,7007446289
236;236;352,8610839844;264,8014831543
237;613;252,1883239746;271,9004821777
238;226;414,4906616211;275,1485290527
239;611;242,4883270264;284,9504699707
240;621;257,7133178711;292,0487976074
241;619;270,0610046387;295,4019165039
242;230;352,6350708008;293,7510681152
243;812;351,4860229492;308,9507446289
244;761;522,6586303711;312,9511413574
245;609;179,9350585938;316,0510559082
246;488;100,3406600952;321,4485168457
247;807;137,4130554199;337,9994201660
248;750;236,8375396729;338,2497863770
249;185;288,7140197754;344,1499938965
250;238;386,1906738281;352,7485046387
251;796;520,3823242188;362,9496154785
252;49;232,7610931396;371,7514953613
253;542;290,1630554199;372,1994323730
254;234;148,5639953613;374,5000000000
255;778;146,9610900879;386,0014953613
256;745;424,5601501465;385,4006347656
257;867;232,1383209229;405,7004699707
258;232;146,4140625000;408,7001037598
259;690;520,3882446289;418,0491333008
260;666;519,1823120117;426,7995910645
261;738;519,3815307617;436,3994140625
262;770;202,1139984131;444,5499877930
263;829;196,5117034912;470,3515625000
264;848;436,8092346191;471,4516296387
265;616;187,6368255615;481,8991088867
266;696;174,7140045166;495,9500122070
267;743;424,9374389648;500,2489013672
268;656;155,3350524902;520,7510375977
269;662;458,9602050781;526,3016967773
270;789;247,9392395020;532,6492309570
271;791;142,8099060059;536,1519775391
272;824;398,9099121094;546,5520019531
273;633;211,8112792969;578,4999389648
274;840;421,8074340820;602,4990234375
275;171;184,3310546875;648,7001342773
276;218;430,4556274414;666,4499511719
277;640;429,5323181152;679,8995361328
278;678;412,8554687500;709,6484375000
279;1133;153,2233428955;137,6509704590
280;1198;445,6250305176;170,5491180420
281;1110;281,0001220703;173,8992767334
282;1106;340,6242675781;173,9000091553
283;1135;157,9733886719;193,9518585205
284;1125;446,7501831055;212,5505371094
285;1108;314,5234375000;250,6011352539
286;1088;448,1499938965;315,1493835449
287;1196;157,8007049561;342,0499877930
288;733;355,0747070313;349,4509887695
289;1131;450,2500305176;370,1002502441
290;1104;354,9028625488;402,3989562988
291;1104;315,7266845703;419,1997680664
292;1096;161,5263366699;432,7491149902
293;1098;355,7248840332;437,9001464844
294;1100;357,0748596191;451,2501220703
295;1129;356,1028747559;464,0489501953
296;1127;311,2278137207;500,6488037109
297;1085;311,7493896484;530,0499267578
298;1092;313,0278015137;564,4987792969
299;1090;168,6514587402;595,9486694336
300;1094;339,9001464844;594,9999389648
301;1106;339,7255249023;620,1993408203
302;1086;167,6507415771;631,2496337891
303;1082;168,5007629395;670,2487182617
304;956;343,8493041992;682,6998901367
305;1138;192,3014526367;705,2486572266
306;1142;319,7501525879;704,0499267578
307;1102;191,9988403320;726,8510131836
308;1140;320,6512756348;724,4505004883
309;1134;170,4883422852;137,8983154297
310;1111;297,3077087402;176,9502868652
311;1107;357,2593383789;177,8513183594
312;1199;461,8850708008;176,6503601074
313;1136;174,1099090576;194,3519744873
314;1126;462,1348876953;218,8009643555
315;1109;329,3614807129;254,0485839844
316;1089;461,5350646973;321,0503234863
317;1184;170,8850555420;342,2503051758
318;734;368,2501220703;353,4492187500
319;1132;462,6614685059;376,2485961914
320;1105;366,9176635742;406,4500427246
321;1105;327,3910522461;422,6501770020
322;1097;172,8092193604;433,1516113281
323;1099;367,1463928223;441,9997558594
324;1101;368,1176757813;455,4500427246
325;1130;366,8434753418;468,2509460449
326;1128;321,0229797363;503,8986206055
327;1084;320,9684143066;533,2992553711
328;1093;321,5700073242;567,6500244141
329;1091;176,6640014648;596,2500000000
330;1095;348,0171508789;598,7492065430
331;1107;347,0593261719;623,8012695313
332;1087;174,7883300781;631,4004516602
333;1083;174,9111022949;670,4014282227
334;930;350,0468139648;686,2999267578
335;1139;198,1406555176;706,0484619141
336;1143;325,2706909180;707,1998901367
337;1103;197,4667968750;727,2501831055
338;1141;325,6945190430;727,6013183594
339;135;251,9353027344;155,1991119385
340;659;441,1966552734;171,9000244141
341;138;158,9680328369;209,4509429932
342;660;491,1832885742;227,8016815186
343;659;439,6850585938;243,6503601074
344;651;285,0584106445;250,4506988525
345;135;140,4100036621;289,8491210938
346;765;111,3155593872;308,9018249512
347;709;84,8184356689;317,0492248535
348;548;254,2833099365;325,0017089844
349;1013;66,0173492432;333,8515930176
350;309;173,3614959717;370,6986083984
351;495;453,6703796387;379,2500305176
352;742;496,0203857422;378,5000305176
353;693;63,2665939331;402,0517272949
354;719;378,9550781250;404,8013610840
355;138;250,8584136963;419,9007263184
356;1161;118,3430709839;497,6492919922
357;1163;247,4734344482;533,4489746094
358;664;490,2897033691;544,6993408203
359;1162;201,0706787109;554,5499267578
360;708;411,9934692383;563,9009399414
361;34;457,6114807129;573,2485961914
362;1164;355,6184387207;584,2991943359
363;682;337,6184387207;627,8491821289
364;706;357,3706054688;635,5491333008
365;1122;296,8903198242;649,3505249023
366;1237;367,8917846680;134,4009246826
367;1241;249,7664337158;140,4014282227
368;1240;452,5673828125;174,6986541748
369;1240;314,9917602539;186,6009368896
370;1238;291,8652038574;220,8999023438
371;1247;243,6478271484;249,4985504150
372;1248;212,1479949951;285,9500427246
373;1239;437,6179504395;304,0994262695
374;1249;172,1224975586;322,4507446289
375;1246;164,0902099609;348,6011657715
376;1226;126,4898452759;372,6986083984
377;1231;256,0466308594;372,0989685059
378;1230;430,0466308594;410,7489929199
379;1250;448,4021301270;409,8982849121
380;1251;474,5000000000;413,6500244141
381;1235;93,4644165039;426,8508605957
382;1252;498,5986022949;425,4999389648
383;1227;404,4205017090;432,3477783203
384;1229;73,2711563110;442,4498291016
385;1242;456,4202270508;509,0499267578
386;1228;369,8450927734;552,6011352539
387;1236;263,0864562988;570,7001953125
388;1232;87,9203491211;575,6488037109
389;1243;457,0719604492;574,1982421875
390;1245;457,3776855469;616,7992553711
391;1234;309,1451110840;633,1011352539
392;1233;277,5203552246;662,3988037109
393;1244;457,0663146973;663,6991577148
394;756;608,8230590820;51,3513603210
395;328;440,1907043457;72,3486633301
396;485;466,7511901855;70,9992904663
397;329;407,4859924316;76,9000701904
398;314;371,0907287598;82,8986816406
399;306;337,5307312012;86,9983749390
400;307;303,1116943359;91,9507904053
401;335;278,2622680664;95,8994979858
402;167;256,7860107422;98,5000457764
403;383;618,4575195313;169,8005371094
404;352;641,2360229492;168,8500518799
405;370;441,4576416016;173,0499725342
406;377;595,3117065430;172,9008026123
407;346;527,3623046875;178,5494995117
408;366;360,7324523926;184,6999816895
409;371;408,5807189941;196,4504089355
410;368;542,8576660156;195,5999603271
411;378;178,7807159424;210,7004089355
412;379;153,6291046143;217,5511169434
413;381;250,3594970703;218,7496948242
414;345;669,1416015625;248,8988494873
415;481;571,5356445313;265,6986999512
416;372;601,7042236328;267,3515625000
417;369;553,3049926758;268,3002014160
418;323;280,5360107422;301,1000671387
419;354;526,1662597656;330,9499816895
420;484;425,3415527344;343,1007690430
421;645;134,8797607422;346,3010253906
422;482;177,9598083496;353,6509704590
423;483;246,5407409668;359,1498718262
424;484;273,4916076660;359,7498474121
425;602;721,5356445313;397,0986633301
426;489;690,9362792969;403,7010498047
427;351;584,4291381836;413,3010559082
428;367;640,1276855469;421,2983093262
429;350;558,4162597656;427,4499816895
430;349;495,6145629883;444,1010437012
431;376;323,9662170410;467,4999694824
432;158;96,7360229492;134,5007324219
433;347;403,4599304199;138,8019866943
434;374;232,9869079590;195,9504089355
435;389;149,7109832764;199,7519073486
436;305;405,3093566895;227,2507934570
437;299;324,8110046387;251,8518829346
438;54;496,4369506836;249,4496154785
439;623;485,7869567871;256,2995910645
440;390;35,4146194458;269,4996032715
441;337;155,1906585693;278,4985046387
442;188;341,4610900879;315,3515014648
443;450;393,9148254395;315,7990112305
444;319;501,3102111816;326,3517150879
445;318;262,4640197754;329,6000061035
446;300;308,7815246582;335,4994201660
447;342;246,8109893799;356,9519042969
448;341;336,9148254395;358,3990173340
449;360;480,3133239746;356,3488159180
450;361;444,6099243164;364,1520080566
451;313;122,2906646729;374,7485046387
452;449;140,7630615234;378,1994323730
453;320;374,0633544922;385,6505432129
454;474;359,6630554199;405,6994323730
455;303;447,7823181152;405,7995910645
456;334;79,7616882324;414,5515441895
457;216;144,6611022949;412,7514953613
458;297;343,9315185547;419,3494262695
459;162;393,3556213379;426,6999206543
460;353;506,1646118164;428,1495971680
461;304;477,8108215332;437,3492126465
462;303;377,7815246582;449,4994201660
463;139;267,6593627930;462,1007995605
464;348;75,6153411865;490,1499023438
465;391;485,2323303223;492,9496154785
466;137;44,1148300171;505,7490234375
467;327;172,7323150635;503,7496032715
468;326;153,1315307617;510,5494079590
469;385;417,0056457520;528,4499511719
470;538;110,0406646729;532,1484375000
471;717;208,0383300781;551,3505249023
472;161;61,0869750977;570,0995483398
473;92;122,4883270264;569,2504882813
474;332;151,9875335693;574,3997802734
475;388;244,2053070068;574,5485839844
