Id;PartNumber;MakersPartNumber;Description
673;71-3895;;Inspection plug vg.
674;71-3910;;Joint washer
675;71-3989;;Hollow dowel, crankcase joint
676;71-4005;;Cylinder block
677;71-4020;;CYLINDER HEAD
678;71-4044;;Outlet stub
679;71-4159;;Muffler
680;71-7001;;CRANKCASE DRIVE SIDE * (Reference only)
681;71-7002;;CRANKCASE TIMING SIDE * (Reference only)
682;71-7003;;Chaincase
683;71-7004;;CRANKCASE TS/DS *
684;71-7007;;CYLINDER HEAD
685;71-7008;;Inlet tappet
686;71-7009;;Joint washer
687;71-7011;;TACHOMETER GEARBOX
688;71-7012;;Thrust cap (After Engine No.XN65837)
689;71-7013;;Oil junction block
690;71-7014;;Oil return pipe
691;71-7015;;Oil feed pipe
692;71-7016;;Inlet camshaft
693;71-7017;;EXHAUST CAMSHAFT
694;71-7018;;Clip (T140V)
695;71-7019;;Connector pipe (T140V - Air cleaner to frame)
696;82-1335;;Washer
697;82-1880;;Copper washer
698;82-2184;;Washer
699;82-3799;;Nut (Reflector Mounting)
700;82-4048;;Joint washer
701;82-4129;;Screw (rear) (Name plate attachment)
702;82-4228;;Spring
703;82-4717;;Nut
704;82-5338;;Nut
705;82-5343;;Drain plug
706;82-6039;;Rubber bush (Battery carrier mounting)
707;82-6673;;Panel grommet
708;82-6738;;Lock c/w 2 keys
709;82-6784;;Grommet, wiring harness or Throttle cable
710;82-6850;;Rear No. plate bracket - bottom
711;82-6981;;IGNITION LOCK WITH KEY
712;82-7021;;Bolt
713;82-7380;;Protective strip
714;82-7560;;Seat plunger and knob
715;82-7888;;Screw - rear - tank motif
716;82-8091;;Battery tray moulding
717;82-8382;;Spring
718;82-9054;;Footrest rubber
719;82-9063;;Distance tube
720;82-9073;;Clip - feed pipe
721;82-9089;;Washer ( Footrest swivel)
722;82-9093;;Rubber buffer
723;82-9279;;Footrest rubber (alternative 82-9630)
724;82-9353;;Retaining strap
725;82-9355;;Buckle
726;82-9561;;Coil grommet
727;82-9700;;Tank motif - right
728;82-9701;;Tank motif - left
729;83-0002;;Washer
730;83-1339;;Screw - front - tank motif
731;83-1560;;Prop stand
732;83-1615;;Clip - breather pipe to fender
733;83-2007;;Abutment ring
734;83-2266;;"Washer - wheel spindle nut(.656""-l .000""-.092"")"
735;83-2508;;Shoulder screw (Battery carrier mounting)
736;83-2521;;Bush, pivot arm
737;83-2641;;Chainguard
738;83-2689;;Distance piece L. H.
739;83-2690;;Distance piece R.H.
740;83-2691;;Sleeve, swinging arm pivot
741;83-2692;;Dirt excluder
742;83-2726;;Rear number plate
743;83-2796;;Lower front bracket
744;83-2829;;Gasket
745;83-2846;;Distance piece - left (Motor to frame centre bottom)
746;83-2847;;Distance piece - right (Motor to frame centre bottom)
747;83-2848;;Distance piece - left (Motor fixing front)
748;83-2849;;Distance piece - right (Motor fixing front)
749;83-3082;;Cover plate - fork end
750;83-3329;;Distance piece (Bracket to frame)
751;83-3522;;Mounting Rubber (Reflector Mounting)
752;83-3537;;Steady bracket motor to frame
753;83-3602;;Distance piece left footrest
754;83-3764;;Reflector bracket
755;83-3793;;Spring
756;83-3814;;Washer
757;83-3875;;Filler cap
758;83-3927;;Petrol pipe
759;83-4086;;Attachment plate
760;83-4118;;Tie strap
761;83-4299;;Plain washer (All models - Air cleaner to frame)
762;83-4355;;Knee grip - left
763;83-4356;;Knee grip - right
764;83-4395;;Tie strap
765;83-4600;;Bridge - rear fender
766;83-4606;;Body - left (Twin Carb T140V)
767;83-4607;;Body - right (Twin Carb T140V)
768;83-4609;;Body - right (Single Carb TR7RV)
769;83-4610;;Battery carrier assembly
770;83-4763;;Grommet
771;83-4774;;Tail lamp carrier
772;83-4776;;Badge - tank grommet
773;83-4782;;Hinge - front and rear
774;83-4783;;Oil filter
775;83-4784;;Rear No. plate bracket - top
776;83-4800;;Sleeve nut, lamp to back plate
777;83-4803;;Side panel - right
778;83-4806;;Wiring protector (Not illus.)
779;83-4807;;Cover - left (Single Carb TR7RV)
780;83-4808;;Cover - right (Single Carb TR7RV)
781;83-4813;;Crankcase breather pipe - rear
782;83-4845;;Body - left (Single Carb TR7RV)
783;83-4854;;Side panel - left
784;83-4887;;Petrol pipe
785;83-4898;;Bracket - Air control lever (T140V)
786;83-4930;;Centre fixing bolt
787;83-4931;;Steady rubber
788;83-4932;;Mounting rubber
789;83-4933;;Mounting rubber
790;83-4934;;Mounting rubber
791;83-4941;;Centre stand
792;83-5001;;Support plate
793;83-5105;;U-grommet, lamp carrier (Not illus.)
794;83-5145;;Grab rail
795;83-5161;;Connector pipe (TR7RV - Air cleaner to frame)
796;83-5285;;Crankcase breather pipe - front
797;83-5290;;T-piece
798;83-5413;;Gas tank (3.6 U.S. galls.) (T140V)
799;83-5414;;Gas tank (3.6 U.S. galls.) (TR7RV)
800;83-5448;;Air intake tube, left (All models)
801;83-5449;;Air intake tube, right (All models)
802;83-5465;;Reservoir assembly
803;83-6209;;Petrol pipe (1977 T140 4 gallon tanks only)
804;83-7003;;Trunnion lever
805;83-7009;;Rear motor plate left
806;83-7011;;Rear motor plate right
807;83-7016;;Return spring, brake pedal
808;83-7018;;Mounting plate, master cylinder
809;83-7021;;Hanger - muffler right
810;83-7022;;Hanger muffler left
811;83-7024;;Trunnion
812;83-7025;;PILLION FOOTREST ASSEMBLY LEFT
813;83-7026;;PILLION FOOTREST ASSEMBLY RIGHT
814;83-7028;;Brake torque stay
815;83-7031;;Rear fender
816;83-7032;;Frame
817;83-7035;;SWINGING ARM
818;83-7040;;Footrest - left and right
819;83-7041;;Coil and tool tray assembly (Coil and tool tray attachment, rear.)
820;83-7044;;Brake pedal
821;83-7046;;Spindle, rear brake pedal
822;83-7049;;Clip, hose
823;83-7053;;Pivot bolt assembly with bushes
824;83-7054;;Pivot bolt bush
825;83-7055;;Outlet stub, feed hose
826;83-7056;;Mounting, reservoir
827;83-7057;;Circlip (All models - Cover to body)
828;83-7058;;Screw (front) (Name plate attachment)
829;83-7059;;Pedal
830;83-7060;;Rubber washer
831;83-7061;;Petrol tank (4 imp galls.) SEA JADE (TR7RV)
832;83-7062;;Petrol tank (4 imp galls.) POLY RED (T140V)
833;83-7063;;Petrol tank (4 imp galls) blue (T140V)
834;83-7064;;Bracket - pipe support
835;83-7065;;Twinseat
836;83-7066;;Twinseat cover
837;83-7067;;Cover - left (Twin Carb T140V)
838;83-7068;;Cover - right (Twin Carb T140V)
839;83-7069;;Clip - vent pipe to T-piece
840;97-0200;;Set bolt
841;97-0430;;Fibre washer
842;97-0961;;Grommet, mudguard for wiring (Not illus.)
843;97-1388;;Plain washer
845;97-1425;;Sleeve, handlebar mounting
846;97-1510;;Gaiter - fork outer cover
847;97-1527;;Metalastik bush
848;97-1529;;Hemispherical washer
849;97-1580;;Rubber washer
850;97-1581;;Distance piece
851;97-2125;;Grip, right hand
852;97-2142;;Grip, left hand
853;97-2208;;Rubber mounting
854;97-2209;;Rubber buffer
855;97-2210;;Backing washer
856;97-2221;;Cup
857;97-2262;;Cover, ignition switch
858;97-2266;;Sealing washer
859;97-2291;;Handlebar eyebolt
860;97-3893;;Washer
861;97-3894;;Screw / Drain Plug
862;97-4001;;Oil seal
863;97-4002;;Scraper sleeve
864;97-4003;;O' ring
865;97-4004;;Cap screw seal
866;97-4009;;Recoil spring
867;97-4011;;Main spring
868;97-4012;;Nut, damper valve
869;97-4026;;Mounting bracket
870;97-4028;;Dust cover
871;97-4031;;Taper roller bearing
872;97-4076;;End plug
873;97-4112;;Handlebar clip (As required)
874;97-4121;;Headlamp bracket - left
875;97-4125;;Distance piece, headlamp bolt
876;97-4166;;Washer
877;97-4203;;Headlamp bracket - right
878;97-4317;;Steering stem nut
879;97-4325;;Damper tube and valve assembly
880;97-4380;;Stanchion
881;97-4381;;Top Yoke
882;97-4385;;Bottom yoke and stem
883;97-4387;;Top nut
884;97-4395;;Cap screw
885;97-4396;;FORK ASSEMBLY (U.S.A.)
886;97-4399;;OUTER MEMBER - LEFT
887;97-4406;;Outer cover - left
888;97-4407;;Outer cover - right
889;97-4456;;Cap, wheel spindle - left
890;97-4457;;Cap, wheel spindle - right
891;97-4461;;Rubber ring, outer cover
892;97-4476;;Eye bolt, LEFT
893;97-4480;;Outer cover - left
894;97-4481;;Outer cover - right
895;97-4552;;Rear stay
896;97-4579;;OUTER MEMBER - RIGHT
897;97-4616;;FORK ASSEMBLY (General)
898;97-7001;;Handlebar (USA specificatic)
899;97-7002;;Handlebar (UK and General)
900;97-7003;;Front fender
901;97-7004;;Bridge piece assembly
902;99-0107;;Spring retainer (Girling 9054/1 71)
903;99-0122;;Bonded bush (Girling 64533645)
904;99-0173;31371398;Spade
905;99-0225;;Screw
906;99-0241;;Cable stop
907;99-0248;364/16;TWIST GRIP (TR7RV)
908;99-0438;376/ 93;Filter
909;99-0446;376/1;Main jet (190) (Each carburettor)
910;99-0454;376/1;Main jet (270)
911;99-0506;622/ 55;Float chamber
912;99-0510;622/ 67;Needle clip
913;99-0511;622/ 68;Float needle
914;99-0512;622/ 69;Float
915;99-0513;622/ 71;Float spindle
916;99-0514;622/ 73;Float chamber washer
917;99-0515;622/ 76;Pilot air screw
918;99-0516;622/ 77;Throttle stop screw
919;99-0517;622/ 78;Banjo bolt
920;99-0520;622/ 82;O' ring for air and throttle screws
921;99-0521;622/ 86;Screw, float and mixing chamber tops
922;99-0527;928/ 6;Throttle valve (No. 3 cutaway)
923;99-0528;928/ 62;Air valve
924;99-0537;281;Bulb,warning light
925;99-0542;38;Bulb
926;99-0548;989;Pilot bulb
927;99-0558;54531899 S45;etc IGNITION SWITCH
928;99-0589;49 72;Rectifier
929;99-0590;49345;Zener diode
930;99-0683;1010018;Fixing wire
931;99-0692;553248;Headlamp rim
932;99-0719;54 27 29;Battery PUZ5A
933;99-0739;;Rotor (Lucas 54213901)
934;99-0769;;Pin, adjustment (Lucas 54419220)
935;99-1006;;Stator, RM21 (Lucas 47205)
936;99-1028;34815A;Rear stop light switch 118SA
937;99-1033;622/131;Throttle return spring
938;99-1034;622/128;Jet holder
939;99-1035;622/122;Needle jet (. 106)
940;99-1036;622/124;Needle
941;99-1037;928/1 3;Air valve guide
942;99-1038;622/129;Air valve spring
943;99-1048;;Spring, 110 lbs. chrome (Girling 64543708)
944;99-1124;13/163;Banjo washer
945;99-1152;622/147;Drain plug
946;99-1153;622/151;Drain plug washer
947;99-1161;57183;Reflector - amber
948;99-1192;382;Bulb
949;99-1193;541234 1;Screw
950;99-1201;35 48;Flasher unit
951;99-1204;54385 91;Clip, flasher unit
952;99-1207;54363453;Warning light, amber
953;99-1208;54363454;Warning light, red
954;99-1209;54363455;Warning light, green
955;99-1210;5414 331;Sealing washer
956;99-1213;5457359;Pilot bulbholder
957;99-1214;37;Main bulb, 45/35W (UK-USA-Canada)
958;99-1223;541151 6;Screw, headlamp fixing
959;99-1224;143 86;Washer, headlamp fixing
960;99-1245;7 228;Horn
961;99-1246;33395;Stanchion, flasher lamp front
962;99-1249;54525927;Light unit (UK-USA-Canada)
963;99-1251;34419;Light switch
964;99-1263;;AUTO ADVANCE UNIT (Lucas 54425657)
965;99-1264;;Spring set (Lucas 54412229)
966;99-1265;;CONTACT BREAKER PLATE ASSEMBLY (Lucas 54425160)
967;99-1266;;Contact set (Lucas 60600271)
968;99-1267;6 512;HEADLAMP COMPLETE (UK-USA-Canada)
969;99-2753;33389 1;Switch housing
970;99-2754;4312318;Trap valve
971;99-2755;3118234;Spring
972;99-2756;3675216;Spring retainer
973;99-2757;3842424;Primary cup
974;99-2758;1650168;Piston washer
975;99-2759;3261542;Piston
976;99-2760;3871473;Secondary cup
977;99-2761;K291 3;Circlip
978;99-2762;381142;Rubber boot
979;99-2763;34762 9;Grub screw
980;99-2765;3275428;Piston
981;99-2766;96498;Fluid seal
982;99-2767;SSB72 75;Retainer
983;99-2770;4221 72;Barrel and tank assembly
984;R930;Amal;Carburettor body, RIGHT (Amal)
985;16/328;Amal;Body, top half (Amal)
986;16/329;Amal;Body, bottom half (Amal)
987;16/008;Amal;Friction spring (Amal)
988;16/009;Amal;Screw (Amal)
989;16/010;Amal;Locknut (Amal)
990;no code;Amal;Rotor (Amal
991;12/556;Amal;Lever (Amal)
992;12/607;Amal;Bolt (Amal)
993;12/606;Amal;Cap (Amal)
994;12/033;Amal;Spring washer (Amal)
995;622/172;Amal;Tickler complete (Amal)
996;930/005;Amal.;Carburettor body (Amal)
997;L930;Amal.;Carburettor body, LEFT (Amal)
998;928/098;Amal.;Mixing chamber top (Amal)
1001;3761-270;AP.LTD;Piston (AP.LTD)
1002;4741-570;AP.LTD;Brake pad ( Order kit Part No. 99-2769) (AP.LTD)
1003;3528-441;AP.LTD;Spiral pin (AP.LTD)
1004;K19866TP;AP.LTD;Retaining pin (Order kit, Part No.99-2769) (AP.LTD)
1005;28696;AP.LTD;Bleed nipple (AP.LTD)
1006;3437-307;AP.LTD;Bolt (AP.LTD)
1009;3468-229;AP.LTD;Bleed nipple (AP.LTD)
1011;6405263;Girling;Damper unit (Girling 6405263)
1012;51271406;Lucas;Bulb holder (Lucas)
1013;643;Lucas;Bulb (Lucas)
1014;144921;Lucas;Screw (Lucas)
1015;534296;Lucas;Plate (Lucas)
1016;554602;Lucas;Bulbholder (UK-USA-Canada) (Lucas)
1017;553783;Lucas;Bulbholder (Europe) (Lucas)
1018;54584931;Lucas;Base assembly (Lucas)
1019;54583924;Lucas;Gasket (Lucas)
1020;54130041;Lucas;Nut (Lucas)
1021;54580300;Lucas;Gasket (Lucas)
1022;54580322;Lucas;Bulbholder (Lucas)
1023;573832;Lucas;Interior assembly (Lucas)
1024;83205;Lucas;Diode, headlamp (CANADA ONLY) (Not illustrated) (Lucas)
1025;14-0404;;Nut
1026;99-12765;;No Idea wrong code
1027;Rotor;;Rotor
1028;PumpBody;;Pump Body (reference only)
1029;57-7001;;Gearbox Inner Cover
1030;57-1614;;Layshaft Bearing
1031;57-0045;;Kickstart stop
1032;57-1607;;Thrust washer
1033;21-2149;;Stud
1034;21-1907;;Bolt
1035;14-7023;;Screw
1036;57-4889;;Camplate
1037;57-7019;;Operating quadrant
1038;57-7011;;Quadrant spindle
1039;60-2708;;"Split pin (5/64"" x 1 3/8"")"
1040;57-3989;;Selector ford rod
1041;57-7020;;Index plunger
1042;57-4459;;Plunger spring
1043;57-4400;;Housing, index plunger
1044;57-3978;;Washer
1045;57-7012;;Joint washer, inner cover to crankcase
1046;57-4364;;Selector fork - mainshaft 4th gear
1047;57-4366;;Selector fork - layshaft 3rd gear
1048;57-4660;;Selector fork - Layshaft 1st gear
1049;57-7015;;plug
1050;57-7016;;Retainer
1051;37-4263;;Caliper cover
1052;21-2196;;Cover, Attachment screw
1053;60-4156;;Caliper cover decal
1054;21-1998;;Screw, stop switch to lever body
1055;21-7008;;Washer
