ParentId;ChildId
7;5
35;985
44;1059
47;1059
61;1060
69;1059
88;985
97;1059
98;985
101;1059
158;390
162;388
164;1059
210;1060
242;985
243;985
253;292
254;277
266;277
267;277
268;277
269;277
270;277
278;277
281;292
282;292
287;292
288;292
289;292
292;294
293;292
297;388
298;384
300;388
308;845
310;845
313;390
317;845
319;359
320;359
326;388
327;388
334;390
341;359
345;354
349;350
360;359
361;359
369;368
371;370
378;381
379;381
385;388
386;384
389;390
393;586
396;1059
403;586
406;586
407;586
409;586
412;586
413;586
417;586
435;1059
448;727
449;390
450;359
466;1060
474;359
479;802
483;376
484;376
587;586
597;845
599;727
603;727
628;727
657;845
669;844
679;845
684;802
685;727
704;802
705;802
711;802
712;802
720;727
743;848
744;848
752;845
753;844
788;841
789;841
838;844
863;985
865;1059
878;1059
889;985
892;985
904;1059
1001;985
1031;1059
1036;1060
1041;1059
1044;1059
1045;1059
1046;1059
1054;1059
1055;1059
1056;1059
1063;1060
1066;1059
1070;1070
1113;5
1122;1163
1162;1161
1164;1163
1218;5
1219;5
1225;727
1227;281
1228;281
1229;281
