Id;PageItemID;XCoordinate;YCoordinate
1;825;420.91885375976563;122.19937133789063
2;825;419.29519653320313;144.04753112792969
3;826;418.391357421875;164.90205383300781
4;827;287.89520263671875;195.99754333496094
5;801;324.61660766601563;196.45170593261719
6;822;417.84521484375;206.64756774902344
7;755;77.7734375;308.64898681640625
8;816;136.59571838378906;310.25003051757813
9;816;166.89840698242188;310.35055541992188
10;617;188.76982116699219;309.49783325195313
11;856;235.27125549316406;311.05111694335938
12;736;414.017333984375;328.0015869140625
13;785;409.6378173828125;378.04898071289063
14;857;257.97039794921875;397.10000610351563
15;737;322.82086181640625;394.95034790039063
16;642;409.52001953125;404.64910888671875
17;681;98.669731140136719;407.9010009765625
18;598;115.30011749267578;407.89923095703125
19;676;128.64572143554688;439.60003662109375
20;658;145.57344055175781;439.34896850585938
21;622;170.62040710449219;438.85000610351563
22;497;405.79180908203125;463.69805908203125
23;754;370.75839233398438;483.25070190429688
24;810;381.85934448242188;492.75128173828125
25;648;321.58761596679688;508.00634765625
26;783;240.78628540039063;519.400390625
27;649;290.65933227539063;519.50128173828125
28;784;189.92520141601563;610.448974609375
29;636;232.34571838378906;609.75
30;517;273.31765747070313;611.050048828125
31;792;338.40869140625;645.2515869140625
32;771;409.61148071289063;667.59857177734375
33;220;66.485054016113281;713.55029296875
34;631;114.0234375;714.64898681640625
35;804;189.44375610351563;718.8485107421875
36;805;233.19572448730469;718.25
37;751;259.44522094726563;718.44757080078125
38;1121;293.3468017578125;719.55029296875
39;650;337.2703857421875;719.4500732421875
40;219;366.82037353515625;719.550048828125
41;757;178.29751586914063;110.75020599365234
42;180;299.27410888671875;116.29750823974609
43;432;326.62518310546875;115.30005645751953
44;758;85.852676391601563;121.44887542724609
45;181;268.17318725585938;120.70055389404297
46;131;207.29792785644531;134.99772644042969
47;432;248.97317504882813;135.7005615234375
48;180;365.14752197265625;133.90016174316406
49;130;112.17445373535156;146.6488037109375
50;759;187.84782409667969;155.99855041503906
51;762;267.65267944335938;157.79885864257813
52;710;370.240234375;157.70120239257813
53;432;111.12317657470703;164.75054931640625
