Id;SectionId;PartId;PartNumber;PageNumber;StartPageNumber;Additional_Info;Quantity;Remarks
1091;8;1285;99-0511;29;28;;1;Each carburettor
1092;7;1286;99-0512;27;26;;1;
1093;8;1286;99-0512;29;28;;1;Each carburettor
1094;7;1287;99-0513;27;26;;1;
1095;8;1287;99-0513;29;28;;1;Each carburettor
1096;7;1288;99-0514;27;26;;1;
1097;8;1288;99-0514;29;28;;1;Each carburettor
1098;7;1289;99-0515;27;26;;1;
1099;8;1289;99-0515;29;28;;1;Each carburettor
1100;7;1290;99-0516;27;26;;1;
1101;8;1290;99-0516;29;28;;1;Each carburettor
1102;7;1291;99-0517;27;26;;1;
1103;8;1291;99-0517;29;28;;1;Each carburettor
1104;7;1292;99-0520;27;26;;2;
1105;8;1292;99-0520;29;28;;2;Each carburettor
1106;7;1293;99-0521;27;26;float and mixing chamber tops;4;
1107;8;1293;99-0521;29;28;float and mixing chamber tops;4;Each carburettor
1108;7;1294;99-0527;27;26;;1;
1109;8;1294;99-0527;29;28;;1;Each carburettor
1110;7;1295;99-0528;27;26;;1;
1111;8;1295;99-0528;29;28;;1;Each carburettor
1112;33;1296;99-0537;85;84;warning light;3;
1113;27;1298;99-0542;73;72;;1;
1114;33;1299;99-0548;85;84;;1;
1115;33;1300;99-0558;85;84;;1;
1116;32;1301;99-0589;83;82;;1;
1117;32;1302;99-0590;83;82;;1;
1118;33;1303;99-0683;85;84;;6;
1119;33;1304;99-0692;85;84;;1;
1120;33;1305;99-0719;87;84;;1;
1121;1;1307;99-0739;9;8;;1;Lucas 54213901
1122;9;1309;99-0769;31;30;adjustment;2;Lucas 54419220
1123;14;1311;99-1006;41;40;;1;Lucas 47205
1124;32;1313;99-1028;83;82;;1;
1125;7;1315;99-1033;27;26;;1;
1126;8;1315;99-1033;29;28;;1;Each carburettor
1127;7;1316;99-1034;27;26;;1;
1128;8;1316;99-1034;29;28;;1;Each carburettor
1129;7;1317;99-1035;27;26;;1;
1130;8;1317;99-1035;29;28;;1;Each carburettor
1131;7;1318;99-1036;27;26;;1;
1132;8;1318;99-1036;29;28;;1;Each carburettor
1133;7;1319;99-1037;27;26;;1;
1134;8;1319;99-1037;29;28;;1;Each carburettor
1135;7;1320;99-1038;27;26;;1;
